Номер,Дата,Праздник
1,01.01.21,Новый год
2,,Международный день похмелья
3,,День памяти былинного Ильи Муромца
4,,День выпускания хлопушек на свободу
5,02.01.21,Новый мяу-год у кошек.День мягких подушек
6,,День мягких подушек
7,,День мотивации и вдохновения
8,,День швейцарского сыра
9,03.01.21,День бенгальских искр и гирляндных огней
10,,День рождения соломинки для коктейлей
11,,День вишни в шоколаде
12,04.01.21,День пустяков
13,,День спагетти
14,,День страстей по лимонной карамельке
15,,День Ньютона
16,,Всемирный день гипноза
17,05.01.21,Международный разгрузочный день
18,,День маленьких историй
19,,День взбитых сливок
20,06.01.21,День обнимашек
21,,День песочного печенья
22,,Рождественский сочельник
23,,День яблони
24,07.01.21,Православное Рождество Христово
25,,Международный день программистов
26,,Международный день глупой походки
27,,День распутывания лыжных следов
28,08.01.21,День ванны с пеной
29,,День распространения микробов радости
30,,День умасливания гремлинов
31,09.01.21,День игры в прятки с зимой
32,,Международный день хореографа
33,,День путешествия на воздушном шаре
34,,День игры в Бога
35,10.01.21,День горького шоколада
36,,День благодарности комнатным растениям
37,,День обучения танцам пингвинов
38,,День своеобразных людей
39,11.01.21,День «Девочки обнимают мальчиков»
40,,Международный день «Спасибо»
41,,День кофейных грёз
42,,День тайного приятеля
43,12.01.21,День поцелуя рыжих
44,,День похищений
45,,День посадки внутреннего дерева
46,,День «Работай усерднее»
47,13.01.21,День осуществления мечты
48,,Щедрец (Щедрый вечер)
49,,День случайных попутчиков
50,14.01.21,Старый Новый год
51,,День поэзии на работе
52,,День белоснежных птиц
53,,Праздник осла
54,15.01.21,День рождения Википедии
55,,День поиска пропавшего эха
56,,День музейного селфи
57,,День бублика
58,16.01.21,Всемирный день «The Beatles»
59,,День великих сумочных раскопок
60,,День ничего
61,,День хорошего подростка
62,17.01.21,День творчества и вдохновения
63,,День нарушения обещаний
64,,День задабривания телефонного божества
65,,День горячего рома с маслом
66,18.01.21,День Винни Пуха
67,,День праздничного ожидания
68,,День зажигания маяка
69,19.01.21,Всемирный день снега
70,,День варки зелья
71,,День апельсиновых сказок
72,,День художника вне закона
73,20.01.21,Удивительный день совпадений
74,,Зимний день согревания мира
75,,День пингвина
76,,День любителей сыра
77,21.01.21,День объятий
78,,День остроумных фраз
79,,День тихих шагов и незаметных взглядов
80,,Международный день тренировочных штанов
81,22.01.21,День рождения воздушной кукурузы (День попкорна)
82,,Температурный праздник
83,,День проветривания блокнотных записей
84,,День ответов на вопросы вашей кошки
85,23.01.21,День зелёного света
86,,Праздник слухов
87,,День несочетаемых цветов в одежде
88,24.01.21,День рождения баночного пива
89,,Международный день эскимо
90,,Всемирный день смеха от живота
91,,Международный день образования
92,25.01.21,Татьянин день (День студентов)
93,,Китайский Новый год
94,,День счастливых снеговиков
95,26.01.21,Международный день без интернета
96,,День случайных направлений
97,27.01.21,День танца со своей тенью
98,,День воздушно-пузырчатой упаковки
99,,Киберпонедельник
100,28.01.21,День колдунов
101,,День пробуждения внутреннего ребёнка
102,,День поп-арта
103,,День планирования отпуска
104,29.01.21,День необязательств
105,,День неспешного заплетания кос
106,,День кукурузных чипсов
107,,День головоломок
108,30.01.21,День Деда Мороза и Снегурочки
109,,День бегства от стресса
110,,День круассана
111,,День бессмысленных сообщений на автоответчике
112,31.01.21,День рождения русской водки
113,,День ювелира
114,,День рисования солнца на снегу
115,,День скотча
116,,День вдохновения сердца искусством
117,,День адского холода
118,,День веселья на работе
119,,День горячего шоколада
120,,День наоборот
121,01.02.21,День Робинзона Крузо
122,,День «Измените свой пароль»
123,,День заглядывания за спину
124,02.02.21,День Ы
125,,День ежа
126,,День самообновления
127,,День ездовых собак
128,03.02.21,Всемирный день борьбы с ненормативной лексикой
129,,Всемирный день свободной любви
130,,День волшебства варежек на резинке
131,04.02.21,Праздник хорошего настроения
132,,День чудесных чудаков
133,,День неандертальца
134,05.02.21,Великий день
135,,День эрудита
136,,День разукрашивания планов на будущее
137,,Всемирный день чтения вслух
138,06.02.21,Праздник мыслей
139,,День Боба Марли
140,,День ступенек и лестниц
141,,Международный день бармена
142,07.02.21,День рождения огнетушителя
143,,День полётов на луну (мыслимых и немыслимых)
144,,День числа Эйлера («e» Day)
145,,День российского бизнес-образования
146,08.02.21,День предложения руки и сердца
147,,День подбрасывания монетки
148,,День мирового кино
149,09.02.21,День апростохорошо
150,,День рождения стриптиза
151,,Международный день пиццы
152,,Всемирный день брака
153,10.02.21,День домового (Кудесы)
154,,День памяти А. С. Пушкина
155,,День рождения утюга
156,,День рассматривания лиц
157,11.02.21,День волшебных сказок на ночь
158,,День рождения парохода
159,,Проводы наличности
160,,Международный день женщин и девочек в науке
161,12.02.21,День безумного желудка
162,,День прокладывания тропинок
163,,День Дарвина
164,13.02.21,День подруг
165,,Всемирный день радио
166,,День сладких снов
167,,День бродячих дверей
168,14.02.21,День cвятого Валентина
169,,Международный день чудаков-одиночек
170,,День компьютерщика и программиста
171,,День маленьких перевоплощений
172,15.02.21,Всемирный день китов
173,,День осведомлённости о холостом образе жизни
174,,День завязывания узелков на счастье
175,,День звона колец
176,16.02.21,День свежего ананаса
177,,Починки
178,,День поиска запахов
179,17.02.21,День спонтанного проявления доброты
180,,День трепета перед Бахусом
181,,Всемирный день человеческого духа
182,,День построения воздушных замков
183,18.02.21,День пельменей
184,,"День, когда всё понятно без слов"
185,,Праздник всех легкомысленных
186,,День Плутона
187,19.02.21,День смешивания разных красок
188,,Всемирный день защиты морских млекопитающих
189,,День орнитолога
190,,Международный день перетягивания каната
191,20.02.21,День профессионального алкоголика
192,,День леденцовых петушков
193,,Всемирный день социальной справедливости
194,,Международный день курильщиков трубки
195,21.02.21,Праздник жизни
196,,Всемирный день экскурсовода
197,,День наблюдения за полётом бумеранга
198,,День однозадачности
199,22.02.21,Вселенская родительская суббота
200,,День приманивания хорошего настроения
201,,Всемирный день размышлений
202,23.02.21,День защитника Отечества
203,,День сражений подушками
204,,Всемирный день взаимопонимания и мира
205,,Международный день собачьего печенья
206,24.02.21,Праздник съехавшей крыши
207,,День полосок и пятнышек
208,,Всемирный день бармена
209,,День рождения лотереи
210,25.02.21,День открытия спирта
211,,Международный день блина
212,,День рождения револьвера
213,,День составления географических карт несуществующих земель
214,26.02.21,Международный день неторопливости
215,,Всемирный день фисташек
216,,День поиска норы спящего лета
217,,День стекломойщиков
218,27.02.21,Международный день оптимиста
219,,День улыбок глазами
220,,День Покемона
221,,День цифрового обучения
222,28.02.21,День ухода зимы
223,,День Калевалы
224,01.03.21,День кошек
225,,Праздник прихода весны
226,,Всемирный день комплимента
227,,День предвкушения тепла
228,02.03.21,Международный день спички
229,,День считания ворон
230,,Всемирный день психического здоровья подростков
231,03.03.21,День ожидания чуда
232,,"День «Я хочу, чтобы ты была счастлива»"
233,,Всемирный день дикой природы
234,04.03.21,
235,05.03.21,
236,06.03.21,
237,07.03.21,
238,08.03.21,
239,09.03.21,
240,10.03.21,
241,11.03.21,
242,12.03.21,
243,13.03.21,
244,14.03.21,
245,15.03.21,День рождения эскалатора
246,,День мечтания о розовых кустах
247,,День «Будьте счастливы»
248,16.03.21,День «Ты всё делаешь правильно»
249,,День спонтанности
250,,День цветных карандашей
251,,День без селфи
252,17.03.21,Праздник шёпота
253,,День подводной лодки
254,18.03.21,Праздник вещих снов
255,,День ящичков и коробочек
256,,День абсолютно невероятных детей
257,19.03.21,Профессиональный праздник самогонщиков
258,,Всемирный день сна
259,,Первый день без шапки
260,,Международный день клиента
261,20.03.21,Международный день счастья
